# 국가별 월별 가장 많이 스트리밍된 월 분석 결과
Country,Month,streams
AU,2024-05,640392223.0
BR,2024-10,1500487054.0
DE,2024-05,972245274.0
ES,2023-08,831805067.0
FR,2024-10,791414600.0
GB,2024-05,901875361.0
IN,2024-10,1576849998.0
JP,2024-05,665562861.0
KR,2024-10,90077750.0
MX,2024-08,1541127001.0
SE,2024-05,328774790.0
TH,2024-08,377711325.0
US,2023-11,1568533673.0
VN,2024-10,312842176.0
ZA,2024-10,154692325.0
