Month,streams
2023-06,8977230572
2023-07,12236184556
2023-08,15150877551
2023-09,12380123679
2023-10,12116095272
2023-11,14873174658
2023-12,13849703531
2024-01,12200869181
2024-02,15811984657
2024-03,12792779909
2024-04,13574939007
2024-05,17965174121
2024-06,14019620304
2024-07,13346964217
2024-08,16457882943
2024-09,13356161540
2024-10,16671953285
2024-11,13650310590
2024-12,6453074396
