Country,Month,streams
VN,2024-08,269414569
VN,2024-09,228608402
VN,2024-10,331602624
VN,2024-11,257615817
VN,2024-12,147537866
ZA,2023-06,51792372
ZA,2023-07,65689655
ZA,2023-08,92609861
ZA,2023-09,77684252
ZA,2023-10,86631793
ZA,2023-11,104033461
ZA,2023-12,111330538
ZA,2024-01,93870774
ZA,2024-02,109151645
ZA,2024-03,95289115
ZA,2024-04,96565547
ZA,2024-05,133573312
ZA,2024-06,105721296
ZA,2024-07,103677028
ZA,2024-08,137522482
ZA,2024-09,112917002
ZA,2024-10,154692325
ZA,2024-11,129855852
ZA,2024-12,68274863
