artist_names,Country
Billie Eilish,15
Doja Cat,15
Jung Kook,15
"Jung Kook, Jack Harlow",15
"Jung Kook, Latto",15
"Lady Gaga, Bruno Mars",15
"ROSÉ, Bruno Mars",15
Sabrina Carpenter,15
Taylor Swift,15
"Taylor Swift, Post Malone",15
