# 월별 전세계적으로 가장 많이 스트리밍된 아티스트 분석 결과
Month,artist_names,streams
2023-06,Taylor Swift,143640853.0
2023-06,Morgan Wallen,63874476.0
2023-06,Arctic Monkeys,52435723.0
2023-06,Harry Styles,52385255.0
2023-06,Bad Bunny,51671141.0
2023-06,Apache 207,49473037.0
2023-06,Miley Cyrus,37113130.0
2023-06,"Dave, Central Cee",32679436.0
2023-06,Junior H,32418501.0
2023-06,KAROL G,31565339.0
2023-07,Taylor Swift,255517570.0
2023-07,Morgan Wallen,75765666.0
2023-07,Arctic Monkeys,62353970.0
2023-07,NewJeans,60047507.0
2023-07,Ninho,51105674.0
2023-07,Alfredo Olivas,50481990.0
2023-07,KAROL G,48767983.0
2023-07,Bad Bunny,48625382.0
2023-07,Olivia Rodrigo,47173978.0
2023-07,Miley Cyrus,45911458.0
2023-08,Taylor Swift,229772276.0
2023-08,KAROL G,85177351.0
2023-08,NewJeans,79884420.0
2023-08,Morgan Wallen,75441328.0
2023-08,Alfredo Olivas,72685289.0
2023-08,Travis Scott,70701999.0
2023-08,Arctic Monkeys,69959437.0
2023-08,"Jung Kook, Latto",69819713.0
2023-08,Post Malone,62622753.0
2023-08,Dua Lipa,58568701.0
2023-09,Taylor Swift,163105657.0
2023-09,Olivia Rodrigo,135556695.0
2023-09,Zach Bryan,80950117.0
2023-09,AYLIVA,80527873.0
2023-09,Arctic Monkeys,68887792.0
2023-09,Alfredo Olivas,65776307.0
2023-09,Doja Cat,63265597.0
2023-09,KAROL G,62652796.0
2023-09,Miley Cyrus,51964644.0
2023-09,Bad Bunny,51707951.0
2023-10,Taylor Swift,160092897.0
2023-10,Bad Bunny,104322481.0
2023-10,Olivia Rodrigo,89347935.0
2023-10,Drake,75455782.0
2023-10,Junior H,73895305.0
2023-10,Doja Cat,67999974.0
2023-10,Arctic Monkeys,67913385.0
2023-10,Alfredo Olivas,59803360.0
2023-10,AYLIVA,57309102.0
2023-10,"Jung Kook, Jack Harlow",52536062.0
2023-11,Taylor Swift,417452983.0
2023-11,Alfredo Olivas,90356929.0
2023-11,Zach Bryan,77418227.0
2023-11,Bad Bunny,75602150.0
2023-11,Tate McRae,74737868.0
2023-11,Arctic Monkeys,74359715.0
2023-11,"Jung Kook, Latto",68237574.0
2023-11,Jung Kook,66146308.0
2023-11,Doja Cat,61091347.0
2023-11,Junior H,59456632.0
2023-12,Taylor Swift,141419685.0
2023-12,Michael Bublé,72690465.0
2023-12,Alfredo Olivas,71189962.0
2023-12,Tate McRae,70471394.0
2023-12,Arctic Monkeys,53461422.0
2023-12,Mariah Carey,48438989.0
2023-12,Natanael Cano,47249470.0
2023-12,Sia,44968041.0
2023-12,Dean Martin,44867632.0
2023-12,Henrique & Juliano,43986782.0
2024-01,Taylor Swift,161947733.0
2024-01,Alfredo Olivas,74419149.0
2024-01,Tate McRae,62784871.0
2024-01,Zach Bryan,56381627.0
2024-01,Arctic Monkeys,55654816.0
2024-01,Shubh,53015629.0
2024-01,Mrs. GREEN APPLE,52584758.0
2024-01,Henrique & Juliano,47722671.0
2024-01,Junior H,47217435.0
2024-01,Olivia Rodrigo,44236084.0
2024-02,Taylor Swift,223687062.0
2024-02,Alfredo Olivas,94812889.0
2024-02,"¥$, Kanye West, Ty Dolla $ign",89244515.0
2024-02,Dua Lipa,81768218.0
2024-02,Henrique & Juliano,77967658.0
2024-02,Mrs. GREEN APPLE,73504664.0
2024-02,Tate McRae,71040219.0
2024-02,Shubh,68810328.0
2024-02,Arctic Monkeys,67099228.0
2024-02,Werenoi,63416963.0
2024-03,Ariana Grande,141851188.0
2024-03,Taylor Swift,138907739.0
2024-03,Dua Lipa,74275921.0
2024-03,Henrique & Juliano,74184470.0
2024-03,Alfredo Olivas,62688213.0
2024-03,Tate McRae,61465553.0
2024-03,Arctic Monkeys,57358800.0
2024-03,Mrs. GREEN APPLE,55020250.0
2024-03,Shubh,54164792.0
2024-03,Benson Boone,49917626.0
2024-04,Taylor Swift,255740315.0
2024-04,Ariana Grande,93364549.0
2024-04,Benson Boone,76417805.0
2024-04,Beyoncé,76406366.0
2024-04,Henrique & Juliano,75339963.0
2024-04,Dua Lipa,62645611.0
2024-04,Shubh,59805000.0
2024-04,Mrs. GREEN APPLE,58372591.0
2024-04,Tate McRae,56068596.0
2024-04,SZA,55224713.0
2024-05,Taylor Swift,281167038.0
2024-05,Billie Eilish,185154193.0
2024-05,Benson Boone,102863220.0
2024-05,Henrique & Juliano,90794195.0
2024-05,Sabrina Carpenter,89318670.0
2024-05,Mrs. GREEN APPLE,85372598.0
2024-05,Alfredo Olivas,70621972.0
2024-05,Shubh,68657188.0
2024-05,SZA,65274897.0
2024-05,Artemas,61389116.0
2024-06,Billie Eilish,210937922.0
2024-06,Taylor Swift,133222441.0
2024-06,Sabrina Carpenter,111111304.0
2024-06,Mrs. GREEN APPLE,77994443.0
2024-06,Henrique & Juliano,76701179.0
2024-06,Benson Boone,76371511.0
2024-06,Shubh,61133238.0
2024-06,Eminem,60290280.0
2024-06,Luke Combs,53400060.0
2024-06,Hozier,53107169.0
2024-07,Billie Eilish,125476348.0
2024-07,Sabrina Carpenter,121613649.0
2024-07,Henrique & Juliano,91406531.0
2024-07,Mrs. GREEN APPLE,84003944.0
2024-07,Eminem,79018645.0
2024-07,Taylor Swift,73008296.0
2024-07,Benson Boone,64595849.0
2024-07,Shubh,55675708.0
2024-07,Zach Bryan,52369967.0
2024-07,Junior H,49674608.0
2024-08,Sabrina Carpenter,182715652.0
2024-08,Billie Eilish,120345382.0
