,2023-06_mean,2023-06_std,2023-06_max,2023-07_mean,2023-07_std,2023-07_max,2023-08_mean,2023-08_std,2023-08_max,2023-09_mean,2023-09_std,2023-09_max,2023-10_mean,2023-10_std,2023-10_max,2023-11_mean,2023-11_std,2023-11_max,2023-12_mean,2023-12_std,2023-12_max,2024-01_mean,2024-01_std,2024-01_max,2024-02_mean,2024-02_std,2024-02_max,2024-03_mean,2024-03_std,2024-03_max,2024-04_mean,2024-04_std,2024-04_max,2024-05_mean,2024-05_std,2024-05_max,2024-06_mean,2024-06_std,2024-06_max,2024-07_mean,2024-07_std,2024-07_max,2024-08_mean,2024-08_std,2024-08_max,2024-09_mean,2024-09_std,2024-09_max,2024-10_mean,2024-10_std,2024-10_max,2024-11_mean,2024-11_std,2024-11_max,2024-12_mean,2024-12_std,2024-12_max
0,433280371.1666667,132636374.38120799,607790069,584829301.0,182971529.31965342,871930242,700836702.5,189264919.56956175,967860767,576904871.1666666,149059786.4375226,745693550,575151327.1666666,159210982.57620978,811021296,695986125.1666666,152846471.09069407,859552090,693846996.1666666,235375435.34593818,986119782,556965253.6666666,103021213.86725025,658157383,750017956.1666666,127110034.3396337,855366623,609188938.0,110784538.68390214,719630741,645041264.8333334,121491751.47352219,778971894,866989377.1666666,179145804.33524063,1072084421,685836284.3333334,142898361.4368477,872665825,654933345.0,121209589.85786428,770361878,789972930.3333334,133127674.25475413,923498613,623747960.1666666,102927056.26323694,732986357,768050460.5,117862214.24035218,882562484,615204897.6666666,96632590.69011599,712635407,348719698.1666667,91352167.78599511,458771527
1,1838004368.0,,1838004368,2664836459.0,,2664836459,3417377049.0,,3417377049,2748196917.0,,2748196917,2717353028.0,,2717353028,3432505723.0,,3432505723,3307641751.0,,3307641751,2650123069.0,,2650123069,3695936835.0,,3695936835,3100057586.0,,3100057586,3678157632.0,,3678157632,4929485372.0,,4929485372,3657589518.0,,3657589518,3401570559.0,,3401570559,4105962260.0,,4105962260,3145105673.0,,3145105673,3805893005.0,,3805893005,3174338563.0,,3174338563,1861161737.0,,1861161737
2,1332104683.6666667,188495881.86335358,1532560944,1780891404.3333333,288069322.1759582,2038568088,2202505035.6666665,214149447.78587916,2342133138,1808711602.3333333,195592148.39809904,1979486234,1726767548.0,298006632.27801365,2068925117,2095550387.0,419887241.37876767,2555665063,1821544991.0,344064739.65947837,2174936412,1797358974.3333333,443812687.45022833,2252676049,2192357827.3333335,561655078.3482814,2798417901,1717549457.6666667,454286420.96986866,2193981087,1723522276.3333333,456183904.47739524,2201045672,2238809961.6666665,533036033.17428404,2701189841,1766011442.0,360076508.5526547,2076207734,1683103583.6666667,261942433.6033022,1920152331,2163608560.6666665,362825520.76134104,2465026984,1838383175.6666667,332511603.4761006,2167538766,2331736196.6666665,465772258.4056241,2860162338,1922650061.6666667,377686039.3351996,2327612445,647474588.3333334,293452124.41475195,965293164
3,108645985.2,64368547.688986875,176080400,143939615.6,81961601.2743267,242499676,184193036.0,108877257.71684098,336095519,148872545.6,89135710.6027702,274335721,153506327.4,86644232.78516304,270955989,195620204.6,100300269.54354455,324476089,182868966.0,94250056.23279826,278862294,163375533.4,86965111.04496293,265650450,207773320.6,118726236.61965406,354274757,176988064.4,99893285.4764942,285879583,171193391.4,93908173.85703044,281601672,223464520.2,123996407.78761876,364898192,189795750.8,107866067.68296391,321924549,193296567.4,117690259.80828618,365765018,224251483.8,137098506.69811693,433491260,190683715.8,110856351.80408518,348903246,252509785.4,139653774.04838338,441565879,203358491.2,109153285.54141054,358729476,111434141.0,56084488.54132248,176892330
