Country,Month,track_name,artist_names,Total_Streams
MX,2023-09,AMG,"Natanael Cano, Peso Pluma, Gabito Ballesteros",14088316
MX,2023-10,$AD BOYZ II,Junior H,11158998
MX,2023-10,3D (feat. Jack Harlow),"Jung Kook, Jack Harlow",6453409
MX,2023-10,911 - En Vivo,"Fuerza Regida, Grupo Frontera",1227096
MX,2023-10,A Mí,Rels B,6364805
MX,2023-10,A TU NOMBRE,Junior H,2291509
MX,2023-11,"""Slut!"" (Taylor's Version) (From The Vault)",Taylor Swift,1386909
MX,2023-11,$AD BOYZ II,Junior H,8836684
MX,2023-11,3D (feat. Jack Harlow),"Jung Kook, Jack Harlow",1599267
MX,2023-11,A Mí,Rels B,8394367
MX,2023-11,ALV,"Arcángel, Grupo Frontera",3962871
MX,2023-12,$AD BOYZ II,Junior H,6099469
MX,2023-12,A Mí,Rels B,6693179
MX,2023-12,A Puro Dolor,Gabito Ballesteros,21831795
MX,2023-12,ALV,"Arcángel, Grupo Frontera",10014777
MX,2023-12,ALVRGZO,"Alex Favela, Código FN, Oscar Ortiz",8496611
MX,2024-01,$AD BOYZ II,Junior H,5301340
MX,2024-01,A Mí,Rels B,6279912
MX,2024-01,A Puro Dolor,Gabito Ballesteros,23153703
MX,2024-01,A chillar a otra parte,Pesado,2956557
MX,2024-01,ALV,"Arcángel, Grupo Frontera",9217947
MX,2024-02,A Mí,Rels B,8415662
MX,2024-02,A Puro Dolor,Gabito Ballesteros,24158682
MX,2024-02,A TU NOMBRE,Junior H,1328777
MX,2024-02,A Tu Manera,"Junior H, Peso Pluma",11327384
MX,2024-02,A chillar a otra parte,Pesado,1570455
MX,2024-03,(Entre Paréntesis),"Shakira, Grupo Frontera",3210618
MX,2024-03,A Mí,Rels B,6903633
MX,2024-03,A Puro Dolor,Gabito Ballesteros,16160781
MX,2024-03,A TU NOMBRE,Junior H,4450361
MX,2024-03,A Tu Manera,"Junior H, Peso Pluma",13111548
MX,2024-04,(Entre Paréntesis),"Shakira, Grupo Frontera",13008819
MX,2024-04,A Mí,Rels B,7144428
MX,2024-04,A Puro Dolor,Gabito Ballesteros,11892475
