Country,Month,track_name,artist_names,Total_Streams
VN,2023-07,3107 3,"W/N, Duongg, Nau, titie",552845
VN,2023-08,10 Ngàn Năm,PC,730858
VN,2023-08,2AM,"JustaTee, BigDaddy",604813
VN,2023-08,3 1 0 7 (feat. Duongg & Nâu),"W/N, Duongg, Nâu",858542
VN,2023-08,3 1 0 7 - 2 (feat. DuongG & Nau),"W/N, Duongg, Nau",714654
VN,2023-08,"3 1 0 7 7 - W/N ft. ( titie, Duongg )","W/N, Duongg, titie",171851
VN,2023-09,10 Ngàn Năm,PC,651747
VN,2023-09,2AM,"JustaTee, BigDaddy",506010
VN,2023-09,3 1 0 7 (feat. Duongg & Nâu),"W/N, Duongg, Nâu",765599
VN,2023-09,3 1 0 7 - 2 (feat. DuongG & Nau),"W/N, Duongg, Nau",591479
VN,2023-09,3107 3,"W/N, Duongg, Nau, titie",987898
VN,2023-10,10 Ngàn Năm,PC,702087
VN,2023-10,16,"Obito, Shiki",137903
VN,2023-10,2AM,"JustaTee, BigDaddy",555185
VN,2023-10,3 1 0 7 (feat. Duongg & Nâu),"W/N, Duongg, Nâu",737769
VN,2023-10,3 1 0 7 - 2 (feat. DuongG & Nau),"W/N, Duongg, Nau",584634
VN,2023-11,"""Slut!"" (Taylor's Version) (From The Vault)",Taylor Swift,190163
VN,2023-11,10 Ngàn Năm,PC,899138
