country,track_name,artist_names,rank,previous_rank,rank_change,rank_change_absolute
MX,La Vida Sin Ti,"Rels B, Lia Kali",23,159,136,136
MX,LINDA,"Tito Double P, Neton Vega",41,174,133,133
MX,ESCAPATE,"Tito Double P, Chino Pacas",36,166,130,130
MX,Santa,"Rvssian, Rauw Alejandro, Ayra Starr",22,150,128,128
MX,FRESITA,"Fuerza Regida, Bellakath",55,183,128,128
MX,Linea Del Perreo,"Uzielito Mix, Yeri Mua, El Jordan 23, Dj Kiire",29,151,122,122
SE,Rim Tim Tagi Dim,Baby Lasagna,6,183,177,177
SE,Europapa,Joost,4,165,161,161
SE,Paradise,Coldplay,44,188,144,144
SE,Twogunkid,Yasin,50,187,137,137
SE,A Sky Full of Stars,Coldplay,33,162,129,129
SE,Black Owned Business,Yasin,73,198,125,125
SE,Don't Look Back in Anger - Remastered,Oasis,63,184,121,121
SE,FIRA JUL PÅ FYRA HJUL,Elov & Beny,80,184,104,104
SE,Lokalisering,Yasin,54,157,103,103
SE,SOLDAT - RMX,"VC Barre, Golfklubb, Pablo Paz, takenoelz",46,145,99,99
TH,LIAR,BUS,13,193,180,180
TH,"Angel Pt. 2 (feat. Jimin of BTS, Charlie Puth and Muni Long)","JVKE, Jimin, Charlie Puth, Muni Long, Fast & Furious: The Fast Saga",4,150,146,146
TH,ยอม (White Flag),LANDOKMAI,11,156,145,145
TH,Fall in Love,ARMOR,48,189,141,141
TH,UP - KARINA Solo,aespa,8,148,140,140
TH,Spark - WINTER Solo,aespa,21,158,137,137
TH,เหมือนเคย (feat. Seattha Sirachaya),"Boyd Kosiyabong, เศรษฐา ศิระฉายา",64,199,135,135
TH,MILLION DOLLAR BABY,Tommy Richman,63,193,130,130
TH,EASY,LE SSERAFIM,52,179,127,127
TH,santa doesn’t know you like i do,Sabrina Carpenter,52,174,122,122
US,500lbs,Lil Tecca,22,196,174,174
US,Tu Boda,"Oscar Maydon, Fuerza Regida",20,135,115,115
US,Get It Sexyy,Sexyy Red,56,167,111,111
US,Or What,"NLE Choppa, 41, Kyle Richh",45,154,109,109
US,Where the Wild Things Are,Luke Combs,63,168,105,105
US,Mmhmm,BigXthaPlug,94,199,105,105
US,HARLEY QUINN,"Fuerza Regida, Marshmello",24,120,96,96
US,New Jeans,NewJeans,41,136,95,95
US,Apple,Charli xcx,53,141,88,88
US,A Nonsense Christmas,Sabrina Carpenter,49,135,86,86
VN,Bạn Đời,"Karik, GDucky",5,182,177,177
VN,LƯỚT TRÊN CON SÓNG (feat. Dangrangto),"RAP VIỆT, Dangrangto",27,184,157,157
VN,Hà Nội,"Obito, Shiki, VSTRA",11,164,153,153
VN,Đầu Đường Xó Chợ,"Obito, Shiki, Lăng LD",39,189,150,150
VN,Call Me,"Wren Evans, itsnk",23,169,146,146
VN,Lặng,Rhymastic,24,168,144,144
VN,"LOVE SAND (feat. HIEUTHUHAI, JSOL, Ali Hoàng Dương & Vũ Thịnh)","ANH TRAI ""SAY HI"", HIEUTHUHAI, JSOL, Ali Hoàng Dương, Vũ Thịnh",34,164,130,130
VN,intentions,starfall,69,194,125,125
VN,Say Yes (Vietnamese Version),"Chọn gì? Chọn đi!, OgeNus, PiaLinh",54,173,119,119
VN,Chưa Được Yêu Như Thế,TRANG,67,183,116,116
ZA,Ka Valungu,"Tebza De DJ, DJ Nomza The King",7,165,158,158
ZA,Hie' Kommie Bokke,Leon Schuster,27,181,154,154
ZA,Ndisize (feat. Ami Faku),"Caiiro, Ami Faku",46,200,154,154
ZA,Asambe,"Ggoldie, Chley, Ceeka RSA, T.M.A_Rsa, RIVALZ",33,186,153,153
ZA,"MKK (feat. CowBoii, djygubzin.live & Ranger)","KMAT, CowBoii, djygubzin.live, Ranger",38,175,137,137
ZA,Big Dawgs,"Hanumankind, Kalmi",31,165,134,134
ZA,"Sthandwa Sam (feat. BelloM, Epic DJ, DJ Seneath & X-Morizo)","2Point1, BelloM, Epic DJ, DJ Seneath, X-Morizo",51,181,130,130
ZA,Ngilele E Hotel,Killorbeezbeatz,16,145,129,129
ZA,Awukhuzeki,"DJ Stokie, Zee_nhle, Omit ST, Sobzeen",45,172,127,127
ZA,Imoto,"Dlala Thukzin, Sykes, Zaba",69,189,120,120
