Country,artist_names,streams
AU,Men At Work,10652643
AU,"David Guetta, OneRepublic",10504889
AU,Lay Bankz,10441310
AU,"Lil Durk, J. Cole",10326612
AU,YG Marley,10316155
AU,"Marshmello, Kane Brown",10204743
AU,Chance Peña,10114907
AU,"Future, Metro Boomin, Travis Scott, Playboi Carti",9984808
AU,Adele,9953771
AU,"MK, Dom Dolla",9889591
AU,"Post Malone, Luke Combs",9582596
AU,Tracy Chapman,9439717
AU,"Mark Ronson, Amy Winehouse",9405421
AU,"David Guetta, Anne-Marie, Coi Leray",9359484
AU,Dylan Gossett,9275447
AU,"Tyler, The Creator",9173350
AU,"Post Malone, Doja Cat",9151860
AU,Sam Barber,9125054
AU,"Drake, Yeat",9010641
AU,Passenger,8822200
AU,Tame Impala,8550497
AU,Calvin Harris,8474470
AU,Billy Joel,8468968
AU,"Noah Kahan, Post Malone",8424339
AU,One Direction,8417023
AU,Toploader,8294784
AU,"Earth, Wind & Fire",8263036
AU,"The Weeknd, Ariana Grande",8204593
AU,Don Toliver,8188112
AU,"benny blanco, Halsey, Khalid",8150752
AU,Imagine Dragons,8116084
AU,d4vd,8111389
AU,Darius Rucker,8105128
AU,"Chase & Status, Stormzy",8054205
AU,Oasis,8024772
AU,Bobby Helms,7946231
AU,Central Cee,7895562
AU,Ndotz,7755687
AU,"Taylor Swift, Florence + The Machine",7608696
AU,"Nicky Youre, dazy",7587647
AU,"Sam Smith, Kim Petras",7502593
AU,Jungle,7474157
AU,"Travis Scott, SZA, Future",7395568
AU,"Mac Miller, Empire Of The Sun",7127459
AU,The Cranberries,7100003
AU,"Kanye West, Pusha T",7097896
AU,FIFTY FIFTY,7053384
AU,5 Seconds of Summer,6732225
AU,Lana Del Rey,6604865
AU,Tucker Wetmore,6585340
AU,Steve Lacy,6564654
AU,Dean Martin,6417887
AU,Queen,6360172
AU,"Kanye West, Chris Martin",6357842
AU,Crowded House,6329364
AU,Selena Gomez,6275473
AU,Dean Lewis,6123383
AU,Lithe,6055083
AU,"Stephen Sanchez, Em Beihold",5947690
AU,Kali Uchis,5922233
AU,Chris Brown,5859236
AU,"Drake, J. Cole",5849542
AU,Andy Williams,5822568
AU,"Dom Dolla, Nelly Furtado",5776182
AU,Bon Jovi,5761937
AU,Sia,5619694
AU,INXS,5535650
AU,"Ice Spice, Central Cee",5523120
AU,"Lady Gaga, Bradley Cooper",5438874
AU,"Bakar, Summer Walker",5372597
AU,"Pitbull, AFROJACK, Ne-Yo, Nayer",5336884
AU,"The Game, 50 Cent",5242971
AU,"Future, Drake, Tems",5193019
AU,Kelly Clarkson,5184164
AU,"KSI, Trippie Redd",5009280
AU,Green Day,4959130
AU,The Beatles,4955252
AU,Coi Leray,4939608
AU,Jet,4934794
AU,"Post Malone, Blake Shelton",4919654
AU,"Travis Scott, Drake",4893771
AU,"Offset, Metro Boomin",4882834
AU,Bill Withers,4873286
AU,Rich Amiri,4843068
AU,Kylie Minogue,4828923
AU,"Sonny Fodera, Jazzy, D.O.D",4814333
AU,Jimmy Eat World,4784037
AU,50 Cent,4773492
AU,"Rihanna, JAY-Z",4760828
AU,"Fred again.., Delilah Montagu",4718135
AU,"Koe Wetzel, Jessie Murph",4651679
AU,Kaliii,4644887
AU,"Pitbull, Ne-Yo",4603729
AU,"Tyler, The Creator, GloRilla, Sexyy Red, Lil Wayne",4503611
AU,Libianca,4492672
AU,The Notorious B.I.G.,4416025
AU,ILLIT,4388579
AU,Max McNown,4360924
AU,Declan McKenna,4306051
AU,Bakar,4277561
AU,"Adam Port, Stryv, Keinemusik, Orso, Malachiii",4264792
AU,The Ronettes,4251756
AU,"The Script, will.i.am",4239137
AU,"Tyler, The Creator, Daniel Caesar",4207330
AU,"Dua Lipa, DaBaby",4178164
AU,"Drake, SZA",4143358
AU,"Metro Boomin, A$AP Rocky, Roisee",4140866
AU,Lizzy McAlpine,4135991
AU,"Ella Langley, Riley Green",4036154
AU,Nicki Minaj,4030220
AU,"The Kid LAROI, Jung Kook, Central Cee",4025087
AU,Bryan Martin,4024458
AU,"Lost Frequencies, Tom Odell",3942152
AU,Nirvana,3827995
AU,José Feliciano,3775777
AU,Gorillaz,3771827
AU,"Tyler, The Creator, Lola Young",3768385
AU,"SZA, Travis Scott",3759637
AU,The White Stripes,3731066
AU,JVKE,3728864
AU,"JAY-Z, Kanye West",3654383
AU,"Fred again.., Anderson .Paak, CHIKA",3646203
AU,Laufey,3590829
AU,Jung Kook,3547505
AU,"Justin Bieber, Nicki Minaj",3546644
AU,"Metro Boomin, Travis Scott, Young Thug",3480060
AU,"Beyoncé, JAY-Z",3426601
AU,Burl Ives,3415023
AU,Juice WRLD,3412086
AU,"Flume, kai",3410064
AU,Otis Redding,3389275
AU,"Kanye West, Jamie Foxx",3369328
AU,Elton John,3322719
AU,Nat King Cole,3305350
AU,Black Eyed Peas,3286176
AU,"Gracie Abrams, Taylor Swift",3157662
AU,"Badger, Natasha Bedingfield",3156329
AU,Lizzo,3154359
AU,Tinashe,3151227
AU,"Ed Sheeran, Luke Combs",3138993
AU,"Kendrick Lamar, Lefty Gunplay",3094520
AU,PARTYNEXTDOOR,3058617
AU,Meghan Trainor,3035589
AU,Lil Tecca,3029426
AU,Ryan Gosling,2972664
AU,"Eminem, Juice WRLD",2942917
AU,"Akon, Eminem",2920768
AU,"Frank Sinatra, B. Swanson Quartet",2898665
AU,4batz,2891359
AU,"Tyler, The Creator, Teezo Touchdown",2866421
AU,Madison Beer,2852038
AU,nimino,2824306
AU,Ice Spice,2818268
AU,"Perry Como, The Fontane Sisters, Mitchell Ayres & His Orchestra",2809243
AU,"Kygo, Ava Max",2804674
AU,"John Lennon, Yoko Ono",2797843
AU,Yeat,2787801
AU,Hooligan Hefs,2705451
AU,Portugal. The Man,2677090
AU,"Eminem, Rihanna",2632040
AU,"Elley Duhé, Whethan",2615066
AU,"Quavo, Lana Del Rey",2592338
AU,"Beyoncé, Miley Cyrus",2558742
AU,LE SSERAFIM,2505364
AU,"Jung Kook, Jack Harlow",2491880
AU,The Jackson 5,2455833
AU,Band Aid,2404740
AU,"Fred again.., Jozzy, Jim Legxacy",2401281
