rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,Country,Date
134,spotify:track:4uUG5RXrOk84mYEfFvj3cK,"David Guetta, Bebe Rexha",I'm Good (Blue),Parlophone UK,2,147,111,593471,DE,2024-10-10
135,spotify:track:7lQ8MOhq6IN2w8EYcFNSUk,Eminem,Without Me,Aftermath,37,155,173,593188,DE,2024-10-10
136,spotify:track:0HPD5WQqrq7wPWR7P7Dw1i,Kesha,TiK ToK,RCA Records Label,136,157,5,585579,DE,2024-10-10
137,spotify:track:2a1o6ZejUi8U3wzzOtCOYw,"Don Omar, Lucenzo",Danza Kuduro,UMLE - Machete,55,129,99,582954,DE,2024-10-10
138,spotify:track:3K4HG9evC7dg3N0R9cYqk4,Linkin Park,One Step Closer,Warner Records,96,117,6,577210,DE,2024-10-10
139,spotify:track:5ZduaRci3iNUiDfJbBfAaf,Matt Sassari,Give It To Me - Full Vocal Mix,Cr2 Records,16,162,116,576369,DE,2024-10-10
140,spotify:track:6LIgQ7TIoAx9nzpfvOq0Nq,"Montez, Kontra K",sekundentakt,Herzinfucked Records,6,106,8,574899,DE,2024-10-10
141,spotify:track:6MzofobZt2dm0Kf1hTThFz,Addison Rae,Diet Pepsi,Columbia,141,-1,1,573656,DE,2024-10-10
142,spotify:track:559mLg44MrcA7JzYGbpXfL,"MilleniumKid, JBS",Vielleicht Vielleicht,Warner Music Central Europe,41,102,47,572940,DE,2024-10-10
143,spotify:track:6Yqu8Y8Rizm3S6WcJNsvqI,"LEA, Lune",Phantasie,Sony Music/Treppenhaus Records,143,-1,1,570359,DE,2024-10-10
144,spotify:track:6IPwKM3fUUzlElbvKw2sKl,girl in red,we fell in love in october,world in red,144,-1,1,569174,DE,2024-10-10
145,spotify:track:5TXDeTFVRVY7Cvt0Dw4vWW,XXXTENTACION,Revenge,Bad Vibes Forever / EMPIRE,88,194,20,569146,DE,2024-10-10
146,spotify:track:7z7kvUQGwlC6iOl7vMuAr9,The Weeknd,Dancing In The Flames,XO / Republic Records,33,115,4,568412,DE,2024-10-10
147,spotify:track:6cSfO7AiNbM9J1TNiYkWa3,AYLIVA,Nie deins,Whiteheart Records/WM Germany,23,127,8,566813,DE,2024-10-10
148,spotify:track:0fq2RzyyUoqELsONRF8ZzP,"Ski Aggu, SIRA",mietfrei,jungeratze & Bamboo Artists,4,149,65,566490,DE,2024-10-10
149,spotify:track:7DSAEUvxU8FajXtRloy8M0,Miley Cyrus,Flowers,Columbia,1,-1,86,564316,DE,2024-10-10
150,spotify:track:1ct7Hx3FQMfym8cHIk4hrd,"CIVO, Maxe",Keine Homies,Good Kid Records & VENTURA Records,9,-1,33,564045,DE,2024-10-10
151,spotify:track:5yVhcpTvQYr4LooQ0dt4l4,reezy,MANCHESTER,Four Music/Two Sides,26,165,59,563124,DE,2024-10-10
152,spotify:track:1wYdHjqYbGZW087h9lFHxX,FANJI,Was wäre wenn du nicht wärst?,OffTape Tape Records & Polydor x Island Berlin x SOS Music,17,125,12,559284,DE,2024-10-10
153,spotify:track:6YRObRlRln6sRd7w83l67G,"Bonez MC, Trettmann",Hab Bock,187 Strassenbande,8,90,5,557241,DE,2024-10-10
154,spotify:track:3eekarcy7kvN4yt5ZFzltW,Travis Scott,HIGHEST IN THE ROOM,Cactus Jack/Epic,8,140,86,557088,DE,2024-10-10
155,spotify:track:4eWo9P0bY0SniczUtzTYxu,"Ataypapi, Nimo",WAGWAN,Warner Music Central Europe,155,-1,1,556628,DE,2024-10-10
156,spotify:track:3FcqFCeCD6QRtRo6WGLCnC,Alligatoah,Willst du,Trailerpark,107,133,76,554453,DE,2024-10-10
157,spotify:track:4ZJcUPTdyfDf6R9VG2oey1,"Rap La Rue, Der Yavuz",NEIN,Epic/DOPE/Raplarue,40,40,2,554284,DE,2024-10-10
158,spotify:track:2tHwzyyOLoWSFqYNjeVMzj,Sabrina Carpenter,Please Please Please,Island Records,24,139,18,551825,DE,2024-10-10
159,spotify:track:7HTbrUVnzVyU7U8Jm4ZyZo,AYLIVA,Lieb mich,Whiteheart Records/WM Germany,1,138,22,548160,DE,2024-10-10
160,spotify:track:67DN4peAmexRxZSFxdzVke,"CIVO, Maxe",Bis zum Mond und zurück,Good Kid Records & Ventura Records,54,160,11,547672,DE,2024-10-10
161,spotify:track:2374M0fQpWi3dLnB54qaLX,TOTO,Africa,Columbia,123,142,41,546498,DE,2024-10-10
162,spotify:track:5rb9QrpfcKFHM1EUbSIurX,"USHER, Lil Jon, Ludacris",Yeah! (feat. Lil Jon & Ludacris),LaFace Records,91,189,36,542203,DE,2024-10-10
163,spotify:track:1SonFPlV5a1ls2pyKyUgLy,LEA,Ich mag dich,Sony Music/Treppenhaus Records,130,183,3,541703,DE,2024-10-10
164,spotify:track:7mBDRYTfJC24sFknHOGJb0,"makko, lucidbeatz",Zickzack,makko305,25,-1,11,538509,DE,2024-10-10
165,spotify:track:7vwKMA2Ui0J4fsk4XjupqS,Bobby Vandamme,Go Fast Go Fast,RCA & GOLD LEAGUE/GOVA Ent.,74,137,3,537839,DE,2024-10-10
166,spotify:track:4gK4nuF9OLsqAVcojfKbTt,"Symba, makko",Memos feat. makko,Columbia/Symba,91,91,2,534520,DE,2024-10-10
167,spotify:track:6X1mehC9bJ1ExEip4HB79W,Die Prinzen,Alles nur geklaut,BMG Rights Management GmbH,133,144,22,532905,DE,2024-10-10
168,spotify:track:0gmbgwZ8iqyMPmXefof8Yf,Nickelback,How You Remind Me,Roadrunner Records,135,154,22,532903,DE,2024-10-10
169,spotify:track:7BRD7x5pt8Lqa1eGYC4dzj,Billie Eilish,CHIHIRO,Darkroom/Interscope Records,6,166,21,532702,DE,2024-10-10
170,spotify:track:5YWu6dt50Nieq8qi572RF8,"SIRA, Bausa, badchieff",9 bis 9,Four Music/SIRA,2,153,74,532591,DE,2024-10-10
171,spotify:track:4kbj5MwxO1bq9wjT5g9HaA,WALK THE MOON,Shut Up and Dance,RCA Records Label,133,169,30,532453,DE,2024-10-10
172,spotify:track:7qEHsqek33rTcFNT9PFqLf,Lewis Capaldi,Someone You Loved,Vertigo Berlin,27,190,175,530094,DE,2024-10-10
173,spotify:track:2qGCbovPihUJFbaRlGsFLL,IBRA,ex und so,GOLD LEAGUE,98,141,7,529342,DE,2024-10-10
174,spotify:track:6hw1Sy9wZ8UCxYGdpKrU6M,Apache 207,Roller,Four Music Local,1,191,267,528829,DE,2024-10-10
175,spotify:track:2K7xn816oNHJZ0aVqdQsha,The Neighbourhood,Softcore,Columbia,29,164,35,528645,DE,2024-10-10
176,spotify:track:39glDGcpBhLVMSsQhvtqHR,nimino,I Only Smoke When I Drink,Counter Records,176,-1,2,528074,DE,2024-10-10
177,spotify:track:6LBmaJYwbLHfQwIreMCLlw,Nina Chuba,Wildberry Lillet,Jive,1,192,112,526349,DE,2024-10-10
178,spotify:track:2ZoO0uLQRp2WhTlyIH8PJf,Adel Tawil,Lieder,BMG Rights Management GmbH,142,167,7,525974,DE,2024-10-10
179,spotify:track:1v7L65Lzy0j0vdpRjJewt1,Eminem,Lose Yourself,Aftermath,53,-1,199,523982,DE,2024-10-10
180,spotify:track:5r2yVGFGpTDcE1wKQUCpS2,Jazeek,Take it,NINETYNINE MUSIC x Good Kid Records x VENTURA Records,16,-1,26,523170,DE,2024-10-10
181,spotify:track:5sNESr6pQfIhL3krM8CtZn,"JAY-Z, Linkin Park",Numb / Encore,Warner Records/Roc-A-Fella,82,-1,8,521775,DE,2024-10-10
182,spotify:track:3mfER4ORePHvN35cbZ3dkV,"Lost Frequencies, Calum Scott",Where Are You Now,Epic Amsterdam,4,158,136,520705,DE,2024-10-10
183,spotify:track:6AI3ezQ4o3HUoP6Dhudph3,Kendrick Lamar,Not Like Us,"Kendrick Lamar, under exclusive license to Interscope Records",26,159,23,519863,DE,2024-10-10
