rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,country,date
93,spotify:track:1hZsWUnLbqRw09jLAMQSsb,"Feid, Young Miko",CLASSY 101,UMLE - Latino,4,94,67,635381,ES,11
94,spotify:track:2HafqoJbgXdtjwCOvNEF14,iñigo quintero,Si No Estás,Acqustic,1,95,43,634727,ES,11
95,spotify:track:1yNa5Sd2tijUuR3hJJ8uvk,Dei V,VVS,"Drip 369 Media Group, Inc.",87,87,29,633435,ES,11
96,spotify:track:1zgb3QCX8jo4IGRg56tjvj,Marta Santos,La Vida Entera,WM Spain,96,124,11,630826,ES,11
97,spotify:track:5N3hjp1WNayUPZrA8kJmJP,Sabrina Carpenter,Please Please Please,Island Records,39,77,5,625061,ES,11
98,spotify:track:559YUIWxUc8Mx4lsla13Ff,"Mora, YOVNGCHIMI",MODELITO,Rimas Entertainment LLC,4,99,78,624828,ES,11
99,spotify:track:5WoC5tREb1zyxfmLu3RyQ7,"Chris Jedi, Gaby Music, Dei V",PERREO LENTO,La Familia Records DD,31,97,22,621748,ES,11
100,spotify:track:17phhZDn6oGtzMe56NuWvj,Teddy Swims,Lose Control,Warner Records,66,89,21,616799,ES,11
101,spotify:track:4WiQA1AGWHFvaxBU6bHghs,Quevedo,PUNTO G,Quevedo,1,96,88,614481,ES,11
102,spotify:track:0TUW9faHNaBmi89wsYGp9y,"Trueno, Nicki Nicole, Bizarrap, Taiu, TATOOL",Mamichula - con Nicki Nicole,NEUEN,1,102,100,613077,ES,11
103,spotify:track:1Ca6I91p9T2IgVwmdNLMT1,Vicco,Nochentera,Sony Music Entertainment,9,110,75,609880,ES,11
104,spotify:track:2mLTxNa0bwZX8eNBsuODLX,"Camilo, Carin Leon",Una Vida Pasada,Sony Music Latin/Hecho a Mano (HAMM),90,90,12,608340,ES,11
105,spotify:track:7s4emXHJwAuo5VvGBXmnBL,"Young Miko, Feid",offline,Wave Music Group,19,80,14,605267,ES,11
106,spotify:track:18W8cuvcub2B9NQzm5rZxf,"JC Reyes, Pedro Calderon, Blacknife",A 300,JC Reyes,11,82,60,605238,ES,11
107,spotify:track:4SmMe198ot30paOyvuTH5w,"Lola Indigo, SAIKO",UNA BACHATA,Universal Music Spain S.L.,11,105,23,604589,ES,11
108,spotify:track:6mmPpaltUZK7xjNlBPQQ0p,"Rauw Alejandro, Chencho Corleone",Desesperados,Sony Music Latin/Duars Entertainment,1,86,113,601078,ES,11
109,spotify:track:33ggWc1Nai6fcNb2qM4lJ7,"Enrique Iglesias, Maria Becerra",ASI ES LA VIDA,Sony Music Latin,42,91,41,600415,ES,11
110,spotify:track:6ebo7CQn4ILLGvXRmXHhQz,"TINI, Maria Becerra",Miénteme,5020 Records,3,92,135,596067,ES,11
111,spotify:track:5q86iSKkBtOoNkdgEDY5WV,Quevedo,VISTA AL MAR,Quevedo,2,127,95,594352,ES,11
112,spotify:track:0QRHOAeU8JRaVVn3UoZBih,"Mora, SAIKO",REINA,Rimas Entertainment LLC,1,109,46,593091,ES,11
113,spotify:track:0Sfn2TYbpQtCGMBf6C0Y6T,"Quevedo, Myke Towers",PLAYA DEL INGLÉS,Quevedo,2,108,83,586797,ES,11
114,spotify:track:0kX6vjW7YrhHxrpZS7jcxa,"Dei V, Foreign Teck",CLIMA (with Foreign Teck),Encore Recordings,53,88,6,583657,ES,11
115,spotify:track:5jt25aFjW2kNoBqaEVaz5W,"Mora, Feid",LA INOCENTE,Rimas Entertainment LLC,7,111,119,582064,ES,11
116,spotify:track:6dOtVTDdiauQNBQEDOtlAB,Billie Eilish,BIRDS OF A FEATHER,Darkroom/Interscope Records,56,115,8,575818,ES,11
117,spotify:track:6SJ01hvFkBLTUnkLyZ72G5,"Key-Key, Ozuna",Tengo Un Plan - Remix,"NWS Music Group, Ozuna appears courtesy of Aura Music Corp under license with Sony Music Entertainment US Latin LLC",81,104,4,574592,ES,11
118,spotify:track:3v1dCP3hk2djfWryqfp7sx,Melendi,Caminando por la vida,Parlophone Spain,102,121,141,567380,ES,11
119,spotify:track:1BJJbSX6muJVF2AK7uH1x4,"Adam Port, Stryv, Keinemusik, Orso, Malachiii",Move,Keinemusik,119,-1,1,565269,ES,11
120,spotify:track:7FlQk2gJ6TBrHHiidvdR2O,"Becky G, KAROL G",MAMIII,Kemosabe Records/RCA Records/Sony Music Latin,2,138,94,561840,ES,11
121,spotify:track:3rdAz1fbUfZxYgaCviYhRo,Rauw Alejandro,Todo De Ti,Sony Music Latin/Duars Entertainment,1,112,134,560627,ES,11
122,spotify:track:6gMj2DzKR2PjrrbNSwcGFR,"Anuel AA, Quevedo, Maluma, Mambo Kingz, DJ Luian",OA,Hear This Music,3,113,39,560384,ES,11
123,spotify:track:5xSt1wxZobFcLzHrFakv6z,SAIKO,COSAS QUE NO TE DIJE,WM Spain,9,116,50,554333,ES,11
124,spotify:track:5iilNoD56jD3FJ3bM9tMP0,"Omar Montes, SAIKO, Tunvao",Arena y Sal,Sony Music Latin,5,123,60,551260,ES,11
125,spotify:track:6NXPhNtKgDn7OJaLaELuSH,"Manuel Carrasco, Camilo",Salitre,Universal Music Spain S.L.,52,118,35,548618,ES,11
126,spotify:track:3k3NWokhRRkEPhCzPmV8TW,"Bad Bunny, Bomba Estéreo",Ojitos Lindos,Rimas Entertainment LLC,2,143,112,546168,ES,11
127,spotify:track:4HYDUMY0xSpeBr0AMY9cUz,"Jay Wheeler, DJ Nelson, Myke Towers",La Curiosidad,Linked Music / Dynamic Records / EMPIRE,2,106,202,545820,ES,11
128,spotify:track:0FLh1ZDsjnoACzBrAVjXT2,Álvaro De Luna,Todo Contigo,WM Spain,13,158,60,544540,ES,11
129,spotify:track:3JG1uFc40wfyrqaWC7iv0e,Artemas,i like the way you kiss me,Artemas,28,120,15,543138,ES,11
130,spotify:track:6KHxe3Yj8W8oq3zviUvJRe,Ana Mena,Madrid City,Sony Music Entertainment,16,114,41,539806,ES,11
131,spotify:track:6irysuQyZWd7Bjj7ePiOs2,JHAYCO,Holanda,N&E Entertainment LLC,3,126,50,538645,ES,11
132,spotify:track:2CeKVsFFXG4QzA415QygGb,Feid,Feliz Cumpleaños Ferxxo,UMLE - Latino,10,125,99,533148,ES,11
133,spotify:track:21N77gfWYoQDvrLvaeiQgi,"Rauw Alejandro, Bizarrap",BABY HELLO,Sony Music Latin/Duars Entertainment,2,128,55,532706,ES,11
134,spotify:track:0AIur9aq9SL2XqdwsOofiQ,DELLAFUENTE,Ayer,MAAS,54,142,4,528378,ES,11
135,spotify:track:0uOxKY91hTmnJOxGPGpJtd,Dani Fernández,Todo cambia,WM Spain,75,119,25,522768,ES,11
136,spotify:track:7ms9TmXD1qVWhuGCQFTT16,"Lérica, Mar Lucas, Daviles de Novelda",Llorando en el Lambo,WM Spain,118,122,8,521716,ES,11
137,spotify:track:7DSAEUvxU8FajXtRloy8M0,Miley Cyrus,Flowers,Columbia,3,135,78,520313,ES,11
138,spotify:track:5OaqffbeQyVVqtnA71Ci7K,Estopa,Por la Raja de Tu Falda,Ariola,135,156,21,519308,ES,11
139,spotify:track:0Iozrbed8spxoBnmtBMshO,Quevedo,WANDA,Quevedo,5,139,77,514916,ES,11
140,spotify:track:6yCjU5j6YHbux2VQCBTTE1,Melendi,Tu jardín con enanitos,WM Spain,118,170,101,514411,ES,11
141,spotify:track:3r9OpHiEaeMaBOa7kVtWtC,Key-Key,Tengo Un Plan,Legal Music Group under exclusive licence to NWS Music Group,11,140,15,513476,ES,11
142,spotify:track:36W1V6ft4fX7HQVSdIYL0J,"Aissa, SAIKO, JC Reyes, Nickzzy, El Bobe, Juseph, GIO",Las Bratz (Remix),Aissa el Aslani Erra,27,132,70,512120,ES,11
143,spotify:track:4Dvkj6JhhA12EX05fT7y2e,Harry Styles,As It Was,Columbia,9,130,107,511878,ES,11
144,spotify:track:7bfFmlLJ1LKr2E3AUsvq5P,"Rvfv, Edu García",Antes,NASTU MUSIC,17,137,67,510330,ES,11
