rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,Country,Date
170,spotify:track:0JDrG1g5HXbfgGtRKT0ofH,Natanael Cano,Diamantes,WEA Latina,72,178,48,1474130,MX,2024-07-18
171,spotify:track:5cWgwbui8BasfjCXvBZ7UA,"Carin Leon, Grupo Frontera",Alch Si,SOCIOS MUSIC LLC,36,174,33,1470992,MX,2024-07-18
172,spotify:track:3E9uSlxdkqijIBCu2rYQBj,Luis R Conriquez,Martes 13,Kartel Music,85,193,8,1470672,MX,2024-07-18
173,spotify:track:4H6o1bxKRGzmsE0vzo968m,"Yuridia, Ángela Aguilar",Qué Agonía,Sony Music México,5,160,91,1470610,MX,2024-07-18
174,spotify:track:3qGkFQOEJ0w0SqnAXFeG2v,La Adictiva,"Después de Ti, ¿Quién?",Sony Music Latin,141,-1,10,1469234,MX,2024-07-18
175,spotify:track:3xkHsmpQCBMytMJNiDf3Ii,Benson Boone,Beautiful Things,"Night Street Records, Inc./Warner Records Inc.",38,158,22,1463449,MX,2024-07-18
176,spotify:track:3wlIAXSDtlD9iU8ysld06Z,"Peso Pluma, Jasiel Nuñez, Junior H",BIPOLAR,Double P Records,13,164,45,1460953,MX,2024-07-18
177,spotify:track:1TPAAS0YvLKzmDMAGrRd6i,"Victor Mendivil, Kevin AMF",Punta Cana,Rico o Muerto Music LLC,84,165,14,1458472,MX,2024-07-18
178,spotify:track:072YgF7J2clpY8DsWOpEri,Sin Bandera,Mientes Tan Bien,Epic,178,-1,1,1457283,MX,2024-07-18
179,spotify:track:0KSwFEkVh0KCBR0TwqBVen,"Jasiel Nuñez, DannyLux",Corazón Frío,Double P Records,116,171,21,1456951,MX,2024-07-18
180,spotify:track:1RzjXhgnzqb3dMa5852itx,"Peso Pluma, Tito Double P",LA PEOPLE,Double P Records,8,161,49,1455351,MX,2024-07-18
181,spotify:track:6Xom58OOXk2SoU711L2IXO,Bad Bunny,Moscow Mule,Rimas Entertainment LLC,1,180,82,1452635,MX,2024-07-18
182,spotify:track:03yAV3GfB7jMAEnynZaAEe,Yahir Saldivar,SC-9,DEL Records,34,179,18,1447523,MX,2024-07-18
183,spotify:track:3agTX6v1AbfY3mMA8qX2Bh,Junior H,EN LA PEDA,WEA Latina,79,-1,2,1446790,MX,2024-07-18
184,spotify:track:6XbtvPmIpyCbjuT0e8cQtp,Quevedo,Columbia,Quevedo,16,185,40,1440378,MX,2024-07-18
185,spotify:track:5LW4Z3Mz4CUliB4b6YyC7K,Peso Pluma,14 - 14,2024 Double P Records,77,169,4,1439430,MX,2024-07-18
186,spotify:track:2TTCzngTprmJJGlmkeM5HR,"Ismael CM, Adrian L Santos, Calle 24",MIRAA,Rancho Humilde,186,-1,1,1424083,MX,2024-07-18
187,spotify:track:7rxHR6dby35y5pjAYQP4ZW,Los Primos MX,Tal Vez,Mar International Records,162,-1,4,1417739,MX,2024-07-18
188,spotify:track:46XNO42jaQNr5DdEWINdpL,"Luis R Conriquez, Edgardo Nuñez, Los Dareyes De La Sierra",De Fresa y Coco,Kartel Music,61,168,35,1410557,MX,2024-07-18
189,spotify:track:1393rKYgZHNphZrdx1jWoN,"Carin Leon, Camilo",Ni Me Debes Ni Te Debo,"Socios Music, LLC",40,-1,40,1404994,MX,2024-07-18
190,spotify:track:35wvL50xvKpCHEJPxLOLPI,Bad Bunny,Si Estuviésemos Juntos,Rimas Entertainment LLC,21,183,221,1397250,MX,2024-07-18
191,spotify:track:2mRwodUOATBk5spcUsEidB,Rels B,La Última Canción,Sony Music Entertainment,191,-1,1,1397223,MX,2024-07-18
192,spotify:track:2yS8aYWXEWJ1NlZ7VPDroT,Banda MS de Sergio Lizárraga,Me Vas a Extrañar,Lizos Music,60,155,148,1395778,MX,2024-07-18
193,spotify:track:2O223PoYCkIPSsE4cmnr9v,Fuerza Regida,TQM,Rancho Humilde/Street Mob Records,1,184,61,1390288,MX,2024-07-18
194,spotify:track:4m3vLNZkFAjm30XxPXf7E3,"Julieta Venegas, Ana Tijoux",Eres para Mí (with Anita Tijoux),Ariola,194,-1,1,1390020,MX,2024-07-18
195,spotify:track:7BRD7x5pt8Lqa1eGYC4dzj,Billie Eilish,CHIHIRO,Darkroom/Interscope Records,50,-1,6,1389608,MX,2024-07-18
196,spotify:track:2ta17XNzvAo7J43BiW0T0Q,Peso Pluma,BRUCE WAYNE,2024 Double P Records,50,153,4,1389434,MX,2024-07-18
