rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,artist_name,country
147,spotify:track:4k6Uh1HXdhtusDW5y8Gbvy,Steve Lacy,Bad Habit,L-M Records/RCA Records,1,126,56,328350,,AU
148,spotify:track:6Ec5LeRzkisa5KJtwLfOoW,"Metro Boomin, A$AP Rocky, Roisee","Am I Dreaming (Metro Boomin & A$AP Rocky, Roisee)",Republic Records,16,84,9,328271,,AU
149,spotify:track:5TRPicyLGbAF2LGBFbHGvO,"Kanye West, Dwele",Flashing Lights,Roc-A-Fella,115,115,17,327747,,AU
150,spotify:track:59QDyqLww2pxyg9ijOPO7f,"MK, Dom Dolla",Rhyme Dust,Columbia,31,125,23,326555,,AU
151,spotify:track:3yrSvpt2l1xhsV9Em88Pul,Van Morrison,Brown Eyed Girl,Columbia/Legacy,81,148,146,326492,,AU
152,spotify:track:0nrRP2bk19rLc0orkWPQk2,Avicii,Wake Me Up,Universal Music AB,33,136,167,324599,,AU
153,spotify:track:4tqcoej1zPvwePZCzuAjJd,J. Cole,Wet Dreamz,Roc Nation Records LLC,88,134,75,323601,,AU
154,spotify:track:1Ukxccao1BlWrPhYkcXbwZ,Laufey,From The Start,Laufey,135,135,3,322657,,AU
155,spotify:track:02wk5BttM0QL38ERjLPQJB,NewJeans,Cool With You,ADOR,39,39,2,322538,,AU
156,spotify:track:6dgUya35uo964z7GZXM07g,Sabrina Carpenter,Nonsense,Island Records,15,153,16,321704,,AU
157,spotify:track:3hxIUxnT27p5WcmjGUXNwx,Hotel Ugly,Shut up My Moms Calling,"Hotel Ugly, under exclusive license to Amuseio AB",78,158,39,321539,,AU
158,spotify:track:56v8WEnGzLByGsDAXDiv4d,NewJeans,ETA,ADOR,43,43,2,321415,,AU
159,spotify:track:0RBw4ODUQPO4cuAOZtBGga,"Tory Lanez, Trippie Redd, Yoko Gold",Hurts Me,One Umbrella Records,132,132,2,321171,,AU
160,spotify:track:5uCax9HTNlzGybIStD3vDh,James Arthur,Say You Won't Let Go,Columbia,5,142,343,320501,,AU
161,spotify:track:3fqwjXwUGN6vbzIwvyFMhx,Chris Stapleton,Tennessee Whiskey,Mercury Nashville,150,150,11,319748,,AU
162,spotify:track:2L9N0zZnd37dwF0clgxMGI,Lizzy McAlpine,ceilings,Harbour Artists & Music,12,169,25,319384,,AU
163,spotify:track:5UWwZ5lm5PKu6eKsHAGxOk,Foo Fighters,Everlong,RCA Records Label,45,127,56,317522,,AU
164,spotify:track:1TE8AAk9koG0UJco6ZAUfx,Bailey Zimmerman,Rock and A Hard Place,Warner Music Nashville/Elektra,34,166,36,316937,,AU
165,spotify:track:7BqBn9nzAq8spo5e7cZ0dJ,Bruno Mars,Just the Way You Are,Atlantic Records,99,176,88,315857,,AU
166,spotify:track:6I3mqTwhRpn34SLVafSH7G,Justin Bieber,Ghost,RBMG/Def Jam,8,149,97,315739,,AU
167,spotify:track:456WNXWhDwYOSf5SpTuqxd,Florence + The Machine,Dog Days Are Over,Universal-Island Records Ltd.,61,139,13,315587,,AU
168,spotify:track:561jH07mF1jHuk7KlaeF0s,Eminem,Mockingbird,Aftermath,36,147,42,314592,,AU
169,spotify:track:3yfqSUWxFvZELEM4PmlwIR,Eminem,The Real Slim Shady,Interscope,56,145,121,313951,,AU
170,spotify:track:6ex1Pz3pntgy4NPtxHXN2V,Ed Sheeran,Bad Habits,Atlantic Records UK,2,129,110,313852,,AU
171,spotify:track:5YqEzk3C5c3UZ1D5fJUlXA,"Nicky Youre, dazy",Sunroof,Thirty Knots/Columbia,8,146,67,312532,,AU
172,spotify:track:1bDbXMyjaUIooNwFE9wn0N,"Drake, 21 Savage",Rich Flex,OVO / Republic Records,2,144,39,312289,,AU
173,spotify:track:1KGi9sZVMeszgZOWivFpxs,TLC,No Scrubs,Arista/LaFace Records,128,164,87,312005,,AU
174,spotify:track:20I6sIOMTCkB6w7ryavxtO,Carly Rae Jepsen,Call Me Maybe,Silent Records IGA,158,180,15,311877,,AU
175,spotify:track:7j4OmvkjRz0PrjFADlHfQx,Adele,Set Fire to the Rain,XL Recordings,64,154,27,310969,,AU
176,spotify:track:2374M0fQpWi3dLnB54qaLX,TOTO,Africa,Columbia,71,167,255,308963,,AU
177,spotify:track:5nujrmhLynf4yMoMtj8AQF,"Dua Lipa, DaBaby",Levitating (feat. DaBaby),Warner Records,4,152,146,308233,,AU
178,spotify:track:4kbj5MwxO1bq9wjT5g9HaA,WALK THE MOON,Shut Up and Dance,RCA Records Label,93,178,136,306561,,AU
179,spotify:track:4BP3uh0hFLFRb5cjsgLqDh,Creedence Clearwater Revival,Fortunate Son,Craft Recordings,143,155,30,304523,,AU
180,spotify:track:2SiXAy7TuUkycRVbbWDEpo,AC/DC,You Shook Me All Night Long,Columbia,114,157,79,304346,,AU
181,spotify:track:6Ea2oEzysv4UECGNxL1IEW,"Dom Dolla, Nelly Furtado",Eat Your Man (with Nelly Furtado),Three Six Zero Recordings,70,117,9,304032,,AU
182,spotify:track:4ZtFanR9U6ndgddUvNcjcG,Olivia Rodrigo,good 4 u,Olivia Rodrigo PS,1,173,111,302817,,AU
183,spotify:track:3xdjjKMcMOFgo1eQrfbogM,Darius Rucker,Wagon Wheel,Capitol Records Nashville,167,175,10,302154,,AU
184,spotify:track:0rVJ6v23RQozOIvr1YotJP,Bakar,Hell N Back,Black Butter,71,163,20,300674,,AU
185,spotify:track:3sW3oSbzsfecv9XoUdGs7h,Taylor Swift,Enchanted (Taylor's Version),Taylor Swift,8,108,4,299346,,AU
186,spotify:track:0QHEIqNKsMoOY5urbzN48u,Meghan Trainor,Made You Look,Epic,5,181,41,298978,,AU
